CASHFLOW.ICS    (Cashflow)|0|0.00|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|
| |||||| ||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
ITEM|UNITS||||||||||||||||||||||
|||||| |||||||||||||||||
TW  (Number of Weeks per Period)|Weeks/period|52|||||||||||||||||||||
T  (Number of Periods for Analysis)|Period|20|||||||||||| |||||||||
DTEPC  (Duration of EPC Phase)|Period|0.403846|||||||||||||||||||||
DT  (Duration of EPC Phase and Startup)|Period|0.596154||| ||||||||||||||||||
WORKP  (Working Capital Percentage)|Percent/period|5|||||||||||||||||||||
OPCHG  (Operating Charges)|Percent/period|25|||||||||||||||||||||
PLANTOVH  (Plant Overhead)|Percent/period|50|||||||||||||||||||||
CAPT  (Total Project Cost)|Cost|3.29441e+006|||||||||||||||||||||
RAWT  (Total Raw Material Cost)|Cost/period|799997|||||||||||||||||||||
PRODT  (Total Product Sales)|Cost/period|0|||||||||||||||||||||
OPMT  (Total Operating Labor and Maintenance Cost)|Cost/period|0|||||||||||||||||||||
UTILT  (Total Utilities Cost)|Cost/period|2.91403e+006|||||||||||||||||||||
ROR  (Desired Rate of Return)|Percent/period|20|||||||||||||||||||||
AF  (ROR Annuity Factor)||5|||||||||||||||||||||
TAXR  (Tax Rate)|Percent/period|40|||||||||||||||||||||
IF  (ROR Interest Factor)||1.2|||||||||||||||||||||
ECONLIFE  (Economic Life of Project)|Period|10|||||||||||||||||||||
SALVAL  (Salvage Value (Percent of Initial Capital Cost))|Percent|20|||||||||||||||||||||
DEPMETH  (Depreciation Method)||0|||||||||||||||||||||
DEPMETHN  (Depreciation Method Id)||1|||||||||||||||||||||
ESCAP  (Project Capital Escalation)|Percent/period|5|||||||||||||||||||||
ESPROD  (Products Escalation)|Percent/period|5|||||||||||||||||||||
ESRAW  (Raw Material Escalation)|Percent/period|3.5|||||||||||||||||||||
ESLAB  (Operating and Maintenance Labor Escalation)|Percent/period|3|||||||||||||||||||||
ESUT  (Utilities Escalation)|Percent/period|3|||||||||||||||||||||
START  (Start Period for Plant Startup)|Period|1|||||||||||||||||||||
PODE  (Desired Payout Period (excluding EPC and Startup Phases))|Period||||||||||||||||||||||
POD  (Desired Payout Period)|Period|0|||||||||||||||||||||
DESRET  (Desired Return on Project)|Percent/Period|10.5|||||||||||||||||||||
END  (End Period for Economic Life of Project)|Period|10|||||||||||||||||||||
GA  (G and A Expenses)|Percent/Period|0|||||||||||||||||||||
DTEP  (Duration of EP Phase before Start of Construction)|Period|0.230769|||||||||||||||||||||
OP  (Total Operating Labor Cost)|Cost/period|600000|||||||||||||||||||||
MT  (Total Maintenance Cost)|Cost/period|24700|||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
Sales|||||||||||||||||||||||
     SP  (Products Sales)|Cost/Period|0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
